- 0x0805b008 Free 92872 was never alloc'd 0xb7df9fc1

Memory not freed:
-----------------
   Address     Size     Caller
0x0805b390     0x14  at 0xb7ab350c
0x0805b3a8    0x254  at 0xb7f7b61b
0x0805b600     0x15  at 0xb7f7b88e
0x0805b620     0x15  at 0xb7f79cc8
0x0805b640    0x254  at 0xb7f7b61b
0x0805b898     0x15  at 0xb7f7b88e
0x0805b8b8     0x17  at 0xb7f79cc8
0x0805b8d8     0x15  at 0xb7f79cc8
0x0805b8f8    0x256  at 0xb7f7b61b
0x0805bb58     0x17  at 0xb7f7b88e
0x0805bb78     0x14  at 0xb7f7d5ac
0x0805bb90     0x14  at 0xb7f7d5ac
0x0805bba8     0x34  at 0xb7f7d958
0x0805bbe0     0xc0  at 0xb7f80395
0x0805bca8     0x60  at 0xb7f80395
0x0805bd10     0x50  at 0xb7f80395
0x0805c0a0     0x19  at 0xb7f79cc8
0x0805c0c0    0x258  at 0xb7f7b61b
0x0805c320     0x19  at 0xb7f7b88e
0x0805c340     0x3c  at 0xb7f7d958
0x0805c380     0x40  at 0xb7f80395
0x0805cd10     0x18  at 0xb7f6dc1a
0x0805cdc0     0x18  at 0xb790dc1a
0x080666c0      0xc  at 0xb7f667a7
0x08066780      0x4  at 0xb78e17f7
0x08066988      0x2  at 0xb79468b3
0x08066998      0x2  at 0xb79462b3
0x080669f0     0x18  at 0xb7946878
0x08066a10     0x16  at 0xb7946278
0x08066a30    0x140  at 0xb793bcea
0x08066b78     0x30  at 0xb7943613
0x08066bb0     0x29  at 0xb7f78dd5
0x08066be0     0x29  at 0xb7f7b88e
0x08066c10     0x3c  at 0xb7f7d958
0x08066c50     0x50  at 0xb7f80395
0x08066ca8      0xc  at 0xb7949858
0x08066cb8      0x2  at 0xb794a02c
0x08066cc8     0x11  at 0xb7943669
0x08066ce0     0x10  at 0xb7c4f980
0x08066cf8     0x12  at 0xb7c4f980
0x08066d10      0x2  at 0xb7c4f980
0x08066d20      0xd  at 0xb7c4f980
0x08066d38      0xb  at 0xb7c4f980
0x08066d48      0x2  at 0xb7c4f980
0x08066d58     0x12  at 0xb7c4f980
0x08066d70     0x12  at 0xb7c4f980
0x08066d88      0x2  at 0xb7c4f980
0x08066d98    0x271  at 0xb7f7b61b
0x08067010     0x60  at 0xb7949881
0x08067078     0x54  at 0xb79498ac
0x080670d0     0x20  at 0xb79250d3
0x080670f8   0x1ff0  at 0xb7924c8a
0x080690f0    0x800  at 0xb7924ef6
0x080698f8      0xa  at 0xb79436d8
0x08069908      0x8  at 0xb79435c0
0x08069918     0x20  at 0xb79430ed
0x08069940     0x30  at 0xb7943613
0x08069978     0x11  at 0xb7943669
0x08069990      0xa  at 0xb79436d8
0x080699a0      0x8  at 0xb79435c0
0x080699b0     0x20  at 0xb79430ed
0x080699d8     0x30  at 0xb7943613
0x08069a10     0x11  at 0xb7943669
0x08069a28      0xa  at 0xb79436d8
0x08069a38      0x8  at 0xb79435c0
0x08069a48     0x20  at 0xb79430ed
0x08069a70     0x30  at 0xb7943613
0x08069aa8     0x11  at 0xb7943669
0x08069ac0      0xa  at 0xb79436d8
0x08069ad0      0x8  at 0xb79435c0
0x08069ae0     0x20  at 0xb79430ed
0x08069b08     0x30  at 0xb7943613
0x08069b40     0x11  at 0xb7943669
0x08069b58      0xa  at 0xb79436d8
0x08069b68      0x8  at 0xb79435c0
0x08069b78     0x20  at 0xb79430ed
0x08069ba0     0x30  at 0xb7943613
0x08069bd8     0x11  at 0xb7943669
0x08069bf0      0xa  at 0xb79436d8
0x08069c00      0x8  at 0xb79435c0
0x08069c10     0x20  at 0xb79430ed
0x08069c38     0x30  at 0xb7943613
0x08069c70     0x11  at 0xb7943669
0x08069c88      0xa  at 0xb79436d8
0x08069c98      0x8  at 0xb79435c0
0x08069ca8     0x20  at 0xb79430ed
0x08069cd0     0x30  at 0xb7943613
0x08069d08     0x11  at 0xb7943669
0x08069d20      0xa  at 0xb79436d8
0x08069d30      0x8  at 0xb79435c0
0x08069d40     0x20  at 0xb79430ed
0x08069d68     0x30  at 0xb7943613
